time_s,temp_c,temp_ema,vnode,fan_duty,heater_duty,setpoint,state
372.9650,30.9348,31.0894,0.1177,1.0000,0.0766,31.0000,THROTTLE
373.9650,30.7502,31.0826,0.1185,1.0000,0.0772,31.0000,THROTTLE
374.9650,31.3084,31.0871,0.1160,1.0000,0.0767,31.0000,THROTTLE
375.9650,30.7502,31.0804,0.1185,1.0000,0.0773,31.0000,THROTTLE
376.9650,31.1209,31.0812,0.1168,1.0000,0.0772,31.0000,THROTTLE
377.9650,30.2050,31.0637,0.1209,1.0000,0.0789,31.0000,THROTTLE
378.9650,30.3854,31.0501,0.1201,1.0000,0.1000,31.0000,PID
379.9650,30.9348,31.0478,0.1177,1.0000,0.1000,31.0000,PID
380.9650,30.3854,31.0345,0.1201,1.0000,0.1000,31.0000,PID
381.9650,30.9348,31.0325,0.1177,1.0000,0.1000,31.0000,PID
382.9650,30.7502,31.0269,0.1185,1.0000,0.1000,31.0000,PID
383.9650,30.9348,31.0251,0.1177,1.0000,0.1000,31.0000,PID
384.9650,31.1209,31.0270,0.1168,1.0000,0.1000,31.0000,PID
416.9650,30.7502,30.8723,0.1185,0.9040,0.1000,31.0000,PID
430.9650,31.3084,30.8237,0.1160,0.8567,0.1000,31.0000,PID
431.9650,30.0261,30.8077,0.1217,0.8448,0.1000,31.0000,PID
449.9650,30.5671,30.7693,0.1193,0.7963,0.1000,31.0000,PID
480.9650,30.3854,30.7044,0.1201,0.6990,0.1000,31.0000,PID
487.9650,31.1209,30.7184,0.1168,0.6960,0.1000,31.0000,PID
498.9650,30.5671,30.6819,0.1193,0.6501,0.1000,31.0000,PID
499.9650,29.1514,30.6513,0.1257,0.6272,0.1000,31.0000,PID
515.9650,31.3084,30.6867,0.1160,0.6186,0.1000,31.0000,PID
516.9650,30.2050,30.6771,0.1209,0.6101,0.1000,31.0000,PID
523.9650,31.6880,30.6961,0.1144,0.6091,0.1000,31.0000,PID
548.9650,31.3084,30.7520,0.1160,0.6037,0.1000,31.0000,PID
580.9650,31.6880,31.0396,0.1144,0.7798,0.1000,31.0000,PID
604.9650,32.0739,31.2730,0.1128,0.9600,0.1000,31.0000,PID
605.9650,31.8802,31.2852,0.1136,0.9699,0.1000,31.0000,PID
606.9650,32.0739,31.3010,0.1128,0.9825,0.1000,31.0000,PID
607.9650,31.8802,31.3125,0.1136,0.9922,0.1000,31.0000,PID
608.9650,32.0739,31.3278,0.1128,1.0000,0.1000,31.0000,PID
609.9650,31.4975,31.3312,0.1152,1.0000,0.1000,31.0000,PID
610.9650,31.4975,31.3345,0.1152,1.0000,0.1000,31.0000,THROTTLE
611.9650,31.8802,31.3454,0.1136,1.0000,0.0653,31.0000,THROTTLE
612.9650,31.3084,31.3447,0.1160,1.0000,0.0651,31.0000,THROTTLE
613.9650,32.0739,31.3592,0.1128,1.0000,0.0634,31.0000,THROTTLE
614.9650,31.3084,31.3582,0.1160,1.0000,0.0632,31.0000,THROTTLE
615.9650,31.8802,31.3687,0.1136,1.0000,0.0619,31.0000,THROTTLE
623.9650,32.0739,31.4280,0.1128,1.0000,0.0534,31.0000,THROTTLE
654.9650,31.4975,31.4915,0.1152,1.0000,0.0352,31.0000,THROTTLE
686.9650,30.0261,31.4151,0.1217,1.0000,0.0309,31.0000,THROTTLE
717.9650,31.1209,31.2517,0.1168,1.0000,0.0388,31.0000,THROTTLE
748.9650,30.7502,30.9522,0.1185,1.0000,0.0667,31.0000,THROTTLE
757.9650,30.5671,30.8773,0.1193,1.0000,0.0748,31.0000,THROTTLE
758.9650,30.9348,30.8784,0.1177,1.0000,0.0747,31.0000,THROTTLE
759.9650,30.7502,30.8759,0.1185,1.0000,0.0751,31.0000,THROTTLE
760.9650,30.7502,30.8733,0.1185,1.0000,0.0754,31.0000,THROTTLE
761.9650,30.0261,30.8564,0.1217,1.0000,0.0772,31.0000,THROTTLE
762.9650,29.6723,30.8327,0.1233,1.0000,0.0797,31.0000,THROTTLE
763.9650,30.5671,30.8274,0.1193,1.0000,0.1000,31.0000,PID
764.9650,31.1209,30.8333,0.1168,0.8861,0.1000,31.0000,PID
765.9650,30.5671,30.8279,0.1193,0.8815,0.1000,31.0000,PID
766.9650,30.7502,30.8264,0.1185,0.8794,0.1000,31.0000,PID
767.9650,30.7502,30.8249,0.1185,0.8773,0.1000,31.0000,PID
768.9650,30.2050,30.8125,0.1209,0.8677,0.1000,31.0000,PID
781.9650,30.2050,30.7033,0.1209,0.7746,0.1000,31.0000,PID
