time_s,temp_c,temp_ema,vnode,fan_duty,heater_duty,setpoint,state
459.3450,35.6353,34.7230,0.0991,0.4787,0.4000,35.0000,?
461.3450,36.0916,34.7772,0.0975,0.5125,0.4000,35.0000,?
463.3450,34.9669,34.7890,0.1015,0.5179,0.4000,35.0000,?
469.3450,35.1876,34.8382,0.1007,0.5449,0.4000,35.0000,?
472.3450,35.4104,34.8807,0.0999,0.5712,0.4000,35.0000,?
477.3450,34.7481,34.8762,0.1023,0.5645,0.4000,35.0000,?
480.3450,35.4104,34.8905,0.0999,0.5720,0.4000,35.0000,?
483.3450,33.8928,34.8484,0.1056,0.5410,0.4000,35.0000,?
485.3450,35.1876,34.8575,0.1007,0.5454,0.4000,35.0000,?
488.3450,34.5314,34.8344,0.1032,0.5268,0.4000,35.0000,?
496.3450,35.1876,34.8064,0.1007,0.4987,0.4000,35.0000,?
497.3450,34.1037,34.7923,0.1048,0.4880,0.4000,35.0000,?
505.3450,34.7481,34.7290,0.1023,0.4334,0.4000,35.0000,?
512.3450,34.1037,34.7273,0.1048,0.4208,0.4000,35.0000,?
513.3450,34.9669,34.7321,0.1015,0.4224,0.4000,35.0000,?
521.3450,34.3166,34.6692,0.1040,0.3654,0.4000,35.0000,?
522.3450,35.1876,34.6795,0.1007,0.3705,0.4000,35.0000,?
526.3450,35.6353,34.7410,0.0991,0.4051,0.4000,35.0000,?
529.3450,34.7481,34.7499,0.1023,0.4065,0.4000,35.0000,?
530.3450,35.6353,34.7676,0.0991,0.4171,0.4000,35.0000,?
533.3450,34.9669,34.7708,0.1015,0.4150,0.4000,35.0000,?
535.3450,36.0916,34.8142,0.0975,0.4420,0.4000,35.0000,?
541.3450,35.1876,34.8334,0.1007,0.4482,0.4000,35.0000,?
545.3450,35.6353,34.8616,0.0991,0.4635,0.4000,35.0000,?
549.3450,34.7481,34.8654,0.1023,0.4627,0.4000,35.0000,?
551.3450,35.4104,34.8914,0.0999,0.4790,0.4000,35.0000,?
553.3450,34.7481,34.8900,0.1023,0.4767,0.4000,35.0000,?
554.3480,35.6353,34.9049,0.0991,0.4862,0.4000,35.0000,?
556.3450,34.9669,34.9031,0.1015,0.4838,0.4000,35.0000,?
559.3450,35.4104,34.9372,0.0999,0.5056,0.4000,35.0000,?
563.3450,34.9669,34.9314,0.1015,0.4999,0.4000,35.0000,?
568.3450,34.9669,34.9263,0.1015,0.4943,0.4000,35.0000,?
571.3450,35.1876,34.9546,0.1007,0.5125,0.4000,35.0000,?
572.3450,34.3166,34.9418,0.1040,0.5036,0.4000,35.0000,?
573.3450,35.1876,34.9468,0.1007,0.5066,0.4000,35.0000,?
578.3450,34.7481,34.9356,0.1023,0.4974,0.4000,35.0000,?
579.3450,35.6353,34.9496,0.0991,0.5066,0.4000,35.0000,?
580.3450,34.9669,34.9500,0.1015,0.5065,0.4000,35.0000,?
581.3450,34.1037,34.9331,0.1048,0.4946,0.4000,35.0000,?
585.3450,34.5314,34.9185,0.1032,0.4830,0.4000,35.0000,?
588.3450,34.9669,34.9087,0.1015,0.4747,0.4000,35.0000,?
589.3450,33.8928,34.8884,0.1056,0.4603,0.4000,35.0000,?
595.3450,34.7481,34.8729,0.1023,0.4452,0.4000,35.0000,?
596.3450,35.6353,34.8881,0.0991,0.4549,0.4000,35.0000,?
600.3450,34.7481,34.8687,0.1023,0.4388,0.4000,35.0000,?
601.3450,33.4763,34.8409,0.1072,0.4190,0.4000,35.0000,?
605.3450,34.7481,34.8295,0.1023,0.4072,0.4000,35.0000,?
613.3450,35.4104,34.8805,0.0999,0.4344,0.4000,35.0000,?
